Date time,Solar (kW)
2020-11-27T00:00:00.000-08:00,0
2020-11-27T00:15:00.000-08:00,0
2020-11-27T00:30:00.000-08:00,0
2020-11-27T00:45:00.000-08:00,0
2020-11-27T01:00:00.000-08:00,0
2020-11-27T01:15:00.000-08:00,0
2020-11-27T01:30:00.000-08:00,0
2020-11-27T01:45:00.000-08:00,0
2020-11-27T02:00:00.000-08:00,0
2020-11-27T02:15:00.000-08:00,0
2020-11-27T02:30:00.000-08:00,0
2020-11-27T02:45:00.000-08:00,0
2020-11-27T03:00:00.000-08:00,0
2020-11-27T03:15:00.000-08:00,0
2020-11-27T03:30:00.000-08:00,0
2020-11-27T03:45:00.000-08:00,0
2020-11-27T04:00:00.000-08:00,0
2020-11-27T04:15:00.000-08:00,0
2020-11-27T04:30:00.000-08:00,0
2020-11-27T04:45:00.000-08:00,0
2020-11-27T05:00:00.000-08:00,0
2020-11-27T05:15:00.000-08:00,0
2020-11-27T05:30:00.000-08:00,0
2020-11-27T05:45:00.000-08:00,0
2020-11-27T06:00:00.000-08:00,0
2020-11-27T06:15:00.000-08:00,0
2020-11-27T06:30:00.000-08:00,0
2020-11-27T06:45:00.000-08:00,0
2020-11-27T07:00:00.000-08:00,0.1
2020-11-27T07:15:00.000-08:00,0.2
2020-11-27T07:30:00.000-08:00,0.2
2020-11-27T07:45:00.000-08:00,0.8
2020-11-27T08:00:00.000-08:00,1.2
2020-11-27T08:15:00.000-08:00,1.3
2020-11-27T08:30:00.000-08:00,1.4
2020-11-27T08:45:00.000-08:00,1.5
2020-11-27T09:00:00.000-08:00,1.6
2020-11-27T09:15:00.000-08:00,1.8
2020-11-27T09:30:00.000-08:00,2
2020-11-27T09:45:00.000-08:00,2.2
2020-11-27T10:00:00.000-08:00,2.6
2020-11-27T10:15:00.000-08:00,2.8
2020-11-27T10:30:00.000-08:00,2.8
2020-11-27T10:45:00.000-08:00,2.8
2020-11-27T11:00:00.000-08:00,2.8
2020-11-27T11:15:00.000-08:00,2.8
2020-11-27T11:30:00.000-08:00,2.7
2020-11-27T11:45:00.000-08:00,2.6
2020-11-27T12:00:00.000-08:00,2.5
2020-11-27T12:15:00.000-08:00,2.4
2020-11-27T12:30:00.000-08:00,2.4
2020-11-27T12:45:00.000-08:00,2.4
2020-11-27T13:00:00.000-08:00,2.2
2020-11-27T13:15:00.000-08:00,2.1
2020-11-27T13:30:00.000-08:00,2
2020-11-27T13:45:00.000-08:00,1.7
2020-11-27T14:00:00.000-08:00,1.5
2020-11-27T14:15:00.000-08:00,1.3
2020-11-27T14:30:00.000-08:00,1.1
2020-11-27T14:45:00.000-08:00,0.9
2020-11-27T15:00:00.000-08:00,0.8
2020-11-27T15:15:00.000-08:00,0.5
2020-11-27T15:30:00.000-08:00,0.4
2020-11-27T15:45:00.000-08:00,0.2
2020-11-27T16:00:00.000-08:00,0
2020-11-27T16:15:00.000-08:00,0
2020-11-27T16:30:00.000-08:00,0
2020-11-27T16:45:00.000-08:00,0
2020-11-27T17:00:00.000-08:00,0
2020-11-27T17:15:00.000-08:00,0
2020-11-27T17:30:00.000-08:00,0
2020-11-27T17:45:00.000-08:00,0
2020-11-27T18:00:00.000-08:00,0
2020-11-27T18:15:00.000-08:00,0
2020-11-27T18:30:00.000-08:00,0
2020-11-27T18:45:00.000-08:00,0
2020-11-27T19:00:00.000-08:00,0
2020-11-27T19:15:00.000-08:00,0
